,codigo_ocorrencia,codigo_ocorrencia2,ocorrencia_classificacao,ocorrencia_cidade,ocorrencia_uf,ocorrencia_aerodromo,ocorrencia_dia,ocorrencia_hora,total_recomendacoes
0,52242,52242,INCIDENTE,PORTO ALEGRE,RS,SBPA,2012-01-05,20:27:00,0
1,45331,45331,ACIDENTE,GUARULHOS,SP,SBGR,2012-01-06,13:44:00,3
2,45333,45333,ACIDENTE,VIAMÃO,RS,****,2012-01-06,13:00:00,0
3,45401,45401,ACIDENTE,SÃO SEBASTIÃO,SP,****,2012-01-06,17:00:00,0
4,45407,45407,ACIDENTE,SÃO SEPÉ,RS,****,2012-01-06,16:30:00,0
5,52243,52243,INCIDENTE,UBATUBA,SP,****,2012-01-06,14:30:00,0
6,50713,50713,INCIDENTE GRAVE,CAMPINAS,SP,SDAI,2012-01-07,18:15:00,0
7,45334,45334,INCIDENTE,BELÉM,PA,SBBE,2012-01-08,19:12:00,0
8,45391,45391,ACIDENTE,CONCEIÇÃO DAS ALAGOAS,MG,****,2012-01-08,16:00:00,0
9,52244,52244,INCIDENTE,UBERLÂNDIA,MG,SBUL,2012-01-08,22:13:00,0
10,45332,45332,ACIDENTE,VIAMÃO,RS,****,2012-01-09,13:30:00,0
11,52245,52245,INCIDENTE,PORTO ALEGRE,RS,SBPA,2012-01-09,13:36:00,0
12,45396,45396,INCIDENTE GRAVE,MARABÁ,PA,SBMA,2012-01-11,11:21:00,0
13,45408,45408,ACIDENTE,ELDORADO,SP,****,2012-01-11,13:45:00,1
14,45447,45447,INCIDENTE,RIO BRANCO,AC,****,2012-01-13,18:15:00,0
15,45409,45409,ACIDENTE,CÁCERES,MT,****,2012-01-14,10:00:00,0
16,45693,45693,INCIDENTE,MACAÉ,RJ,****,2012-01-14,10:30:00,0
17,52246,52246,INCIDENTE,BRASÍLIA,DF,SBBR,2012-01-16,16:47:00,0
18,50714,50714,INCIDENTE GRAVE,CAMOCIM,CE,SNWC,2012-01-17,18:25:00,0
19,45399,45399,INCIDENTE GRAVE,MUANÁ,PA,****,2012-01-18,17:35:00,0
20,52247,52247,INCIDENTE,BELO HORIZONTE,MG,SBPR,2012-01-18,13:10:00,0
21,45392,45392,ACIDENTE,BRASÍLIA,DF,****,2012-01-19,21:30:00,2
22,45390,45390,ACIDENTE,CACHOEIRA DOURADA,GO,****,2012-01-20,21:00:00,0
23,45405,45405,INCIDENTE,CUIABÁ,MT,****,2012-01-20,08:00:00,0
24,45582,45582,INCIDENTE GRAVE,RONDONÓPOLIS,MT,SWRD,2012-01-20,17:00:00,0
25,45400,45400,INCIDENTE GRAVE,BRASÍLIA,DF,SBBR,2012-01-21,14:50:00,4
26,45410,45410,ACIDENTE,BRAGANÇA PAULISTA,SP,SDVH,2012-01-21,23:30:00,0
27,52241,52241,INCIDENTE GRAVE,UBERLÂNDIA,MG,SBUL,2012-01-21,20:45:00,0
28,52248,52248,INCIDENTE,SÃO PAULO,SP,SBMT,2012-01-21,11:15:00,0
29,45393,45393,ACIDENTE,RIO DE JANEIRO,RJ,SBJR,2012-01-22,20:25:00,0
30,45397,45397,INCIDENTE GRAVE,RIO DE JANEIRO,RJ,****,2012-01-22,19:05:00,2
31,52051,52051,INCIDENTE,RECIFE,PE,SBRF,2012-01-22,23:00:00,0
32,45412,45412,ACIDENTE,TASSO FRAGOSO,MA,****,2012-01-23,09:33:00,2
33,45413,45413,ACIDENTE,ITAPURANGA,GO,****,2012-01-25,22:00:00,0
34,52053,52053,INCIDENTE,VITÓRIA,ES,SBVT,2012-01-25,13:36:00,0
35,52054,52054,INCIDENTE,SÃO PAULO,SP,SBMT,2012-01-25,23:00:00,0
36,52055,52055,INCIDENTE,RIBEIRÃO PRETO,SP,****,2012-01-25,09:30:00,0
37,45802,45802,INCIDENTE,BELO HORIZONTE,MG,SBBH,2012-01-26,17:00:00,0
38,45667,45667,INCIDENTE,JOINVILLE,SC,SBJV,2012-01-27,14:45:00,0
39,45579,45579,ACIDENTE,CAMPOS LINDOS,TO,****,2012-01-28,18:35:00,0
40,45415,45415,ACIDENTE,RIO DE JANEIRO,RJ,****,2012-01-30,13:55:00,0
41,45719,45719,INCIDENTE,PELOTAS,RS,****,2012-01-30,21:30:00,0
42,45414,45414,ACIDENTE,NOVA BRASILÂNDIA,MT,****,2012-01-31,18:00:00,0
43,45417,45417,ACIDENTE,VÁRZEA GRANDE,MT,****,2012-01-31,14:15:00,0
44,45668,45668,INCIDENTE,CAMPOS DOS GOYTACAZES,RJ,****,2012-02-01,12:30:00,0
45,45682,45682,INCIDENTE,MACAÉ,RJ,****,2012-02-01,13:50:00,0
46,45525,45525,ACIDENTE,CAMPO FLORIDO,MG,****,2012-02-02,21:30:00,2
47,45705,45705,INCIDENTE,SÃO JOSÉ DOS PINHAIS,PR,SBCT,2012-02-02,22:35:00,0
48,45658,45658,INCIDENTE,CAMPO GRANDE,MS,SBCG,2012-02-03,23:33:00,0
49,45703,45703,INCIDENTE,RIO DE JANEIRO,RJ,SBGL,2012-02-03,02:04:00,0
50,45701,45701,INCIDENTE,BELÉM,PA,SBBE,2012-02-04,14:55:00,0
51,45587,45587,ACIDENTE,CORRENTINA,BA,****,2012-02-05,20:27:00,0
52,52056,52056,INCIDENTE,LONDRINA,PR,SBLO,2012-02-05,17:34:00,0
53,45469,45469,INCIDENTE,PIRACICABA,SP,SDPW,2012-02-06,20:45:00,0
54,45572,45572,ACIDENTE,PALESTINA,SP,****,2012-02-06,19:30:00,0
55,45669,45669,INCIDENTE,ITANHAÉM,SP,****,2012-02-06,14:00:00,0
56,45699,45699,INCIDENTE,SÃO PAULO,SP,SBSP,2012-02-06,18:44:00,0
57,45700,45700,INCIDENTE,CUIABÁ,MT,****,2012-02-06,20:00:00,0
58,45524,45524,ACIDENTE,JUNDIAÍ,SP,SBJD,2012-02-07,16:10:00,0
59,45580,45580,INCIDENTE GRAVE,MACAÉ,RJ,****,2012-02-07,14:50:00,4
60,45588,45588,ACIDENTE,RIO DE JANEIRO,RJ,****,2012-02-07,20:56:00,4
61,45656,45656,INCIDENTE,JUNDIAÍ,SP,SBJD,2012-02-07,20:50:00,0
62,46900,46900,ACIDENTE,QUELUZITO,MG,****,2012-02-07,19:45:00,0
63,45528,45528,ACIDENTE,BELÉM,PA,****,2012-02-08,01:44:00,3
64,45564,45564,ACIDENTE,SONORA,MS,****,2012-02-08,09:50:00,0
65,45585,45585,ACIDENTE,BELA VISTA DO PARAÍSO,PR,****,2012-02-08,21:35:00,0
66,45678,45678,INCIDENTE,BELO HORIZONTE,MG,SBPR,2012-02-10,22:05:00,0
67,45718,45718,INCIDENTE,UBERLÂNDIA,MG,SBUL,2012-02-10,04:00:00,0
68,45466,45466,ACIDENTE,CAMPINAS,SP,SDAM,2012-02-12,19:25:00,0
69,45470,45470,INCIDENTE,RIO DE JANEIRO,RJ,SBGL,2012-02-12,02:20:00,0
70,45586,45586,ACIDENTE,ARROIO GRANDE,RS,****,2012-02-15,13:00:00,0
71,52471,52471,INCIDENTE GRAVE,CAIRU,BA,SNCL,2012-02-15,13:20:00,0
72,45487,45487,ACIDENTE,CAMETÁ,PA,****,2012-02-16,12:30:00,3
73,45684,45684,INCIDENTE,PERUÍBE,SP,****,2012-02-17,14:45:00,0
74,45689,45689,INCIDENTE,RIO DE JANEIRO,RJ,****,2012-02-17,23:00:00,0
75,45712,45712,INCIDENTE,CABO FRIO,RJ,****,2012-02-17,12:00:00,0
76,45713,45713,INCIDENTE,SÃO PAULO,SP,****,2012-02-17,11:30:00,0
77,45584,45584,INCIDENTE GRAVE,ESTÂNCIA,SE,SNOD,2012-02-19,15:10:00,0
78,45598,45598,INCIDENTE GRAVE,BRAGANÇA PAULISTA,SP,SBBP,2012-02-20,14:10:00,0
79,45715,45715,INCIDENTE,MANAUS,AM,SWFN,2012-02-20,09:10:00,0
80,45571,45571,ACIDENTE,MARITUBA,PA,****,2012-02-22,13:40:00,9
81,45710,45710,INCIDENTE,SÃO JOSÉ DOS PINHAIS,PR,SBCT,2012-02-22,22:45:00,0
82,45714,45714,INCIDENTE,BELO HORIZONTE,MG,SBBH,2012-02-22,19:35:00,0
83,45681,45681,INCIDENTE,MANAUS,AM,SBEG,2012-02-23,10:25:00,0
84,45527,45527,ACIDENTE,CORUPÁ,SC,****,2012-02-24,11:45:00,0
85,45569,45569,ACIDENTE,COSTA RICA,MS,****,2012-02-24,10:30:00,0
86,45653,45653,INCIDENTE GRAVE,GUARULHOS,SP,SBGR,2012-02-24,20:04:00,0
87,45490,45490,ACIDENTE,BELÉM,PA,****,2012-02-25,11:47:00,1
88,45680,45680,INCIDENTE,CONFINS,MG,SBCF,2012-02-25,20:00:00,0
89,45709,45709,INCIDENTE,RIO DE JANEIRO,RJ,****,2012-02-26,15:42:00,0
90,45522,45522,ACIDENTE,SÃO JOSÉ,SC,SSKT,2012-02-27,21:00:00,0
91,45599,45599,INCIDENTE GRAVE,BRAGANÇA PAULISTA,SP,SBBP,2012-02-27,19:15:00,0
92,45523,45523,ACIDENTE,ENVIRA,AM,****,2012-02-28,21:30:00,0
93,45573,45573,ACIDENTE,MANAUS,AM,****,2012-02-28,10:15:00,2
94,45570,45570,ACIDENTE,LUIZ ALVES,SC,****,2012-02-29,11:15:00,0
95,45727,45727,INCIDENTE,BARRA DO GARÇAS,MT,SBBW,2012-03-01,12:50:00,0
96,45526,45526,ACIDENTE,QUERÊNCIA DO NORTE,PR,****,2012-03-02,12:50:00,0
97,45589,45589,ACIDENTE,LINS,SP,SWXQ,2012-03-02,17:35:00,0
98,45707,45707,INCIDENTE,FORTALEZA,CE,SBFZ,2012-03-02,22:12:00,0
99,45610,45610,INCIDENTE,SÃO JOSÉ DO RIO PRETO,SP,****,2012-03-03,13:00:00,0
100,45706,45706,INCIDENTE,RIO BRANCO,AC,SBRB,2012-03-03,17:35:00,0
101,45711,45711,INCIDENTE,SÃO PAULO,SP,****,2012-03-03,11:30:00,0
102,45596,45596,ACIDENTE,ELISEU MARTINS,PI,****,2012-03-06,12:30:00,2
103,45604,45604,INCIDENTE,RIO DE JANEIRO,RJ,SBRJ,2012-03-06,11:31:00,0
104,45670,45670,INCIDENTE,SALVADOR,BA,SBSV,2012-03-06,23:25:00,0
105,45594,45594,ACIDENTE,ITUMBIARA,GO,****,2012-03-07,10:00:00,0
106,45601,45601,INCIDENTE,GUARULHOS,SP,SBGR,2012-03-07,17:40:00,0
107,45624,45624,INCIDENTE,VITÓRIA,ES,****,2012-03-07,11:45:00,0
108,45671,45671,INCIDENTE,PALMAS,TO,SBPJ,2012-03-07,10:50:00,0
109,45728,45728,INCIDENTE,RIO BRANCO,AC,****,2012-03-08,22:00:00,0
110,45677,45677,INCIDENTE,ANÁPOLIS,GO,****,2012-03-09,08:30:00,0
111,45695,45695,INCIDENTE,MACAÉ,RJ,SBME,2012-03-09,11:35:00,0
112,45698,45698,INCIDENTE,FORTALEZA,CE,****,2012-03-09,14:00:00,0
113,45612,45612,INCIDENTE,LONDRINA,PR,SBLO,2012-03-10,16:35:00,0
114,45647,45647,INCIDENTE,MACAÉ,RJ,****,2012-03-10,11:48:00,0
115,45694,45694,INCIDENTE,RIBEIRÃO PRETO,SP,SBRP,2012-03-10,12:25:00,0
116,45789,45789,INCIDENTE,ILHÉUS,BA,SBIL,2012-03-10,12:30:00,0
117,45696,45696,INCIDENTE,CAMPINAS,SP,****,2012-03-11,17:30:00,0
118,45697,45697,INCIDENTE,RIBEIRÃO PRETO,SP,****,2012-03-11,22:42:00,0
119,45597,45597,ACIDENTE,CAMPO GRANDE,MS,SBCG,2012-03-12,14:38:00,2
120,45611,45611,INCIDENTE,RIO DE JANEIRO,RJ,SBGL,2012-03-12,01:42:00,0
121,45618,45618,ACIDENTE,LUIZ ALVES,SC,****,2012-03-12,17:00:00,1
122,45600,45600,INCIDENTE GRAVE,ESPUMOSO,RS,****,2012-03-13,20:30:00,0
123,45609,45609,INCIDENTE,GOIÂNIA,GO,****,2012-03-13,12:50:00,0
124,45786,45786,INCIDENTE,SALVADOR,BA,SBSV,2012-03-14,12:46:00,0
125,45692,45692,INCIDENTE,FRANCA,SP,****,2012-03-15,14:35:00,0
126,45729,45729,ACIDENTE,MIRANDA,MS,****,2012-03-15,10:00:00,0
127,45625,45625,INCIDENTE,SANTA MARIA,RS,****,2012-03-16,12:25:00,0
128,45654,45654,INCIDENTE GRAVE,SÃO JOSÉ,SC,SSKT,2012-03-16,21:00:00,0
129,45691,45691,INCIDENTE,FRANCO DA ROCHA,SP,****,2012-03-16,18:40:00,0
130,45864,45864,INCIDENTE,CAMPOS DOS GOYTACAZES,RJ,****,2012-03-17,17:30:00,0
131,45685,45685,INCIDENTE,CABO FRIO,RJ,SBBZ,2012-03-18,12:20:00,0
132,45619,45619,ACIDENTE,SOROCABA,SP,SDCO,2012-03-19,19:18:00,0
